cencode,institutionname,new_cencode,new_institutionname,address,distcode,zonecode,divcode,schooltype,schoolcategory,status
ZN1805,GIRIULLA ZONAL EDUCATION OFFICE,56105,GIRIULLA ZONAL EDUCATION OFFICE,,D18,ZN1805,ED1811,8,,1
ZN0902,HAMBANTOTA ZONAL EDUCATION OFFICE,53302,HAMBANTOTA ZONAL EDUCATION OFFICE,,D09,ZN0902,ED0905,8,,1
ZN0605,HANGURANKETHA ZONAL EDUCATION OFFICE,52305,HANGURANKETHA ZONAL EDUCATION OFFICE,,D06,ZN0605,ED0605,8,,1
ZN0603,HATTON ZONAL EDUCATION OFFICE,52303,HATTON ZONAL EDUCATION OFFICE,,D06,ZN0603,ED0602,8,,1
ZN2102,HINGURAKGODA ZONAL EDUCATION OFFICE,57202,HINGURAKGODA ZONAL EDUCATION OFFICE,,D21,ZN2102,ED2104,8,,1
ZN0102,HOMAGAMA ZONAL EDUCATION OFFICE,51102,HOMAGAMA ZONAL EDUCATION OFFICE,,D01,ZN0102,ED0107,8,,1
ZN0303,HORANA ZONAL EDUCATION OFFICE,51303,HORANA ZONAL EDUCATION OFFICE,,D03,ZN0303,ED0303,8,,1
ZN1806,IBBAGAMUWA ZONAL EDUCATION OFFICE,56106,IBBAGAMUWA ZONAL EDUCATION OFFICE,,D18,ZN1806,ED1805,8,,1
ZN1002,ISLANDS ZONAL EDUCATION OFFICE,54102,ISLANDS ZONAL EDUCATION OFFICE,,D10,ZN1002,ED1014,8,,1
ZN1001,JAFFNA ZONAL EDUCATION OFFICE,54101,JAFFNA ZONAL EDUCATION OFFICE,,D10,ZN1001,ED1002,8,,1
ZN1502,KALKUDAH ZONAL EDUCATION OFFICE,55102,KALKUDAH ZONAL EDUCATION OFFICE,,D15,ZN1502,ED1510,8,,1
ZN1602,KALMUNAI ZONAL EDUCATION OFFICE,55202,KALMUNAI ZONAL EDUCATION OFFICE,,D16,ZN1602,ED1608,8,,1
ZN0301,KALUTARA ZONAL EDUCATION OFFICE,51301,KALUTARA ZONAL EDUCATION OFFICE,,D03,ZN0301,ED0301,8,,1
ZN0401,KANDY ZONAL EDUCATION OFFICE,52101,KANDY ZONAL EDUCATION OFFICE,,D04,ZN0401,ED0401,8,,1
ZN1703,KANTHALE ZONAL EDUCATION OFFICE,55303,KANTALE ZONAL EDUCATION OFFICE,,D17,ZN1703,ED1702,8,,1
ZN0407,KATUGASTOTA ZONAL EDUCATION OFFICE,52107,KATUGASTOTA ZONAL EDUCATION OFFICE,,D04,ZN0407,ED0408,8,,1
ZN2005,KEBITHIGOLLEWA ZONAL EDUCATION OFFICE,57105,KEBITHIGOLLEWA ZONAL EDUCATION OFFICE,,D20,ZN2005,ED2018,8,,1
ZN2501,KEGALLE ZONAL EDUCATION OFFICE,59201,KEGALLE ZONAL EDUCATION OFFICE,,D25,ZN2501,ED2501,8,,1
ZN2003,KEKIRAWA ZONAL EDUCATION OFFICE,57103,KEKIRAWA ZONAL EDUCATION OFFICE,,D20,ZN2003,ED2010,8,,1
ZN0204,KELANIYA ZONAL EDUCATION OFFICE,51204,KELANIYA ZONAL EDUCATION OFFICE,,D02,ZN0204,ED0206,8,,1
ZN1101,KILINOCHCHI ZONAL EDUCATION OFFICE,54502,KILINOCHCHI NORTH ZONAL EDUCATION OFFICE,,D11,ZN1101,ED1101,8,,1
,,54501,KILINOCHCHI SOUTH ZONAL EDUCATION OFFICE,,,,,,,
ZN1704,KINNIYA ZONAL EDUCATION OFFICE,55304,KINNIYA ZONAL EDUCATION OFFICE,,D17,ZN1704,ED1703,8,,1
ZN0602,KOTHMALE ZONAL EDUCATION OFFICE,52302,KOTMALE ZONAL EDUCATION OFFICE,,D06,ZN0602,ED0604,8,,1
