old_divcode,old_divisionname,new_divcode,new_divisionname,distcode,zonecode,divisionname_si,divisionname_ta,status
ED2208,UVA-PARANAGAMA DIVISIONAL EDUCATION OFFICE,58133,UVA PARANAGAMA DIVISIONAL EDUCATION OFFICE,D22,ZN2204,,,1
ED1303,VAUNIYA NORTH DIVISIONAL EDUCATION OFFICE,54325,VAVUNIYA NORTH DIVISIONAL EDUCATION OFFICE,D13,ZN1302,,,1
ED1301,VAVUNIYA SOUTH - SINHALA DIVISIONAL EDUCATION OFFICE,54321,VAVUNIYA SOUTH (SINHALA) DIVISIONAL EDUCATION OFFICE,D13,ZN1301,,,1
ED1302,VAVUNIYA SOUTH - TAMIL DIVISIONAL EDUCATION OFFICE,54322,VAVUNIYA SOUTH (TAMIL) DIVISIONAL EDUCATION OFFICE,D13,ZN1301,,,1
ED1014,VELANAI DIVISIONAL EDUCATION OFFICE,54124,VELANAI DIVISIONAL EDUCATION OFFICE,D10,ZN1002,,,1
ED1304,VENGALACHCHETTIKULAM DIVISIONAL EDUCATION OFFICE,54323,VENGALACHETTIKULAM DIVISIONAL EDUCATION OFFICE,D13,ZN1301,,,1
ED0310,WALALLAWITA DIVISIONAL EDUCATION OFFICE,51331,WALALLAWITA DIVISIONAL EDUCATION OFFICE,D03,ZN0302,,,1
ED0603,WALAPANE DIVISIONAL EDUCATION OFFICE,52331,WALAPANE DIVISIONAL EDUCATION OFFICE,D06,ZN0604,,,1
ED0904,WALASMULLA DIVISIONAL EDUCATION OFFICE,53330,WALASMULLA DIVISIONAL EDUCATION OFFICE,D09,ZN0903,,,1
ED2503,WARAKAPOLA DIVISIONAL EDUCATION OFFICE,59229,WARAKAPOLA DIVISIONAL EDUCATION OFFICE,D25,ZN2501,,,1
ED1808,WARIYAPOLA DIVISIONAL EDUCATION OFFICE,56142,WARIYAPOLA DIVISIONAL EDUCATION OFFICE,D18,ZN1803,,,1
ED0212,WATTALA DIVISIONAL EDUCATION OFFICE,51227,WATTALA DIVISIONAL EDUCATION OFFICE,D02,ZN0204,,,1
ED0802,WELIGAMA DIVISIONAL EDUCATION OFFICE,53227,WELIGAMA DIVISIONAL EDUCATION OFFICE,D08,ZN0801,,,1
ED2410,WELIGEPOLA DIVISIONAL EDUCATION OFFICE,59123,WELIGEPOLA DIVISIONAL EDUCATION OFFICE,D24,ZN2403,,,1
ED2107,WELIKANDA DIVISIONAL EDUCATION OFFICE,57223,WELIKANDA DIVISIONAL EDUCATION OFFICE,D21,ZN2103,,,1
ED2209,WELIMADA DIVISIONAL EDUCATION OFFICE,58134,WELIMADA DIVISIONAL EDUCATION OFFICE,D22,ZN2204,,,1
ED1406,WELIOYA DIVISIONAL EDUCATION OFFICE,54423,WELIOYA DIVISIONAL EDUCATION OFFICE,D14,ZN1401,,,1
ED0803,WELIPITIYA DIVISIONAL EDUCATION OFFICE,53223,WELIPITIYA DIVISIONAL EDUCATION OFFICE,D08,ZN0802,,,1
ED2304,WELLAWAYA DIVISIONAL EDUCATION OFFICE,58228,WELLAWAYA DIVISIONAL EDUCATION OFFICE,D23,ZN2302,,,1
ED1910,WENNAPPUWA DIVISIONAL EDUCATION OFFICE,56224,WENNAPPUWA DIVISIONAL EDUCATION OFFICE,D19,ZN1902,,,1
ED2005,WILACHCHIYA DIVISIONAL EDUCATION OFFICE,57126,WILACHCHIYA DIVISIONAL EDUCATION OFFICE,D20,ZN2001,,,1
ED0503,WILGAMUWA DIVISIONAL EDUCATION OFFICE,52231,WILGAMUWA DIVISIONAL EDUCATION OFFICE,D05,ZN0504,,,1
ED0510,YATAWATTA DIVISIONAL EDUCATION OFFICE,52227,YATAWATTA DIVISIONAL EDUCATION OFFICE,D05,ZN0501,,,1
ED0402,YATINUWARA DIVISIONAL EDUCATION OFFICE,52122,YATINUWARA DIVISIONAL EDUCATION OFFICE,D04,ZN0403,,,1
ED2507,YATIYANTOTA DIVISIONAL EDUCATION OFFICE,59225,YATIYANTOTA DIVISIONAL EDUCATION OFFICE,D25,ZN2504,,,1
ED2513,PALINDANUWARA DIVISIONAL EDUCATION OFFICE,51329,PALINDANUWARA DIVISIONAL EDUCATION OFFICE,D03,ZN0302,,,1
